city_name_en,country_name_en,region,city_name,country_name,continent,latitude,longitude
Dublin,Ireland,Europe,Dublin,Éire / Ireland,Europe,53.3493795,-6.2605593
Glasgow,United Kingdom,Europe,Glasgow,United Kingdom,Europe,55.861155,-4.2501687
Helsinki,Suomi / Finland,Europe,Helsinki,Suomi / Finland,Europe,60.1674881,24.9427473
Kiev,Ukraine,Europe,Київ,Україна,Europe,50.4485578,30.5271623
Lisbon,Portugal,Europe,Lisboa,Portugal,Europe,38.7077507,-9.1365919
London,United Kingdom,Europe,London,United Kingdom,Europe,51.5074456,-0.1277653
Madrid,Spain,Europe,Madrid,España,Europe,40.4167047,-3.7035825
Moscow,Russia,Europe,Moscow,Россия,Europe,55.625578,37.6063916
Munich,Germany,Europe,München,Deutschland,Europe,48.1371079,11.5753822
Oslo,Norway,Europe,Oslo,Norge,Europe,59.9133301,10.7389701
Paris,France,Europe,Paris,France,Europe,48.8588897,2.320041
Prague,Czech Republic,Europe,Hlavní město Praha,Česko,Europe,50.0596288,14.4464593
Reykjavik,Iceland,Europe,Reykjavíkurborg,Ísland,Europe,64.1055168,-21.8228825
Rome,Italy,Europe,Roma,Italia,Europe,41.8933203,12.4829321
Sarajevo,Bosnia and Herzegovina,Europe,Sarajevo,Bosna i Hercegovina / Босна и Херцеговина,Europe,43.8519774,18.3866868
Stockholm,Sweden,Europe,Stockholm,Sverige,Europe,59.3251172,18.0710935
Venice,Italy,Europe,Venezia,Italia,Europe,45.4371908,12.3345898
Vienna,Austria,Europe,Wien,Österreich,Europe,48.2083537,16.3725042
Warsaw,Poland,Europe,Warszawa,Polska,Europe,52.2337172,21.0714322
Bogota,Colombia,Latin America,Bogotá,Colombia,South America,4.6533816,-74.0836333
Buenos Aires,Argentina,Latin America,Buenos Aires,Argentina,South America,-33.3657998,-60.19955
Caracas,Venezuela,Latin America,Caracas,Venezuela,South America,10.5060934,-66.9146008
Havana,Cuba,Latin America,La Habana,Cuba,South America,23.1607191,-82.2953585
Lima,Peru,Latin America,Lima,Perú,South America,-11.967575,-77.0113689
Mexico City,Mexico,Latin America,Mexico City,México,South America,19.3207722,-99.1514678
Port au Prince,Haiti,Latin America,Arrondissement de Port-au-Prince,Ayiti,South America,18.547327,-72.3395928
Rio de Janeiro,Brazil,Latin America,Rio de Janeiro,Brasil,South America,-22.9110137,-43.2093727
Sao Paulo,Brazil,Latin America,Sao Paulo,Brasil,South America,-23.5506507,-46.6333824
Baghdad,Iraq,Middle East/Africa,بغداد,العراق,Asia,33.036132,44.263504
Beirut,Lebanon,Middle East/Africa,البسطة التحتا,لبنان,Asia,33.8892265,35.5025585
