country,city_name,train_station_name,train_station_lat,train_station_lon,region
United States,Seattle,Pioneer Square,47.6027217,-122.3313539,US/Canada
대한민국,Seoul,City Hall,37.5654798,126.977114,Asia/Oceania
中国,Shanghai,Dashijie,31.2291468,121.4749289,Asia/Oceania
Singapore,Singapore,Bright Hill,1.3637638,103.8334664,Asia/Oceania
United States,St Louis,8th & Pine,38.6276226,-90.1928041,US/Canada
Sverige,Stockholm,Gamla stan,59.3233049,18.0670022,Europe
Australia,Sydney,Martin Place,-33.8678177,151.210759,Asia/Oceania
臺灣,Taipei,Taipei City Hall,25.0411283,121.5660998,Asia/Oceania
ایران,Tehran,Meydan-e Hor,35.6908759,51.3883603,Middle East/Africa
日本,Tokyo,Otemachi,35.6840162,139.7626637,Asia/Oceania
Canada,Toronto,Osgoode,43.6508016,-79.3865409,US/Canada
Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,Ulaanbaatar,Ulan Bator,47.9081991,106.8838584,Asia/Oceania
Canada,Vancouver,Broadway–City Hall,49.2628399,-123.11451,US/Canada
Italia,Venice,Venezia Santa Lucia,45.4410753,12.3210322,Europe
Österreich,Vienna,Stephansplatz,48.208419,16.3720045,Europe
Polska,Warsaw,Warsaw East,52.2515889,21.0523678,Europe
United States,Washington,Federal Triangle,38.8934583,-77.0280297,US/Canada
