city_name,node1_latlon,node2_latlon,node3_latlon,country,region
Casablanca,"(33.5157877, -7.639641)","(33.5678979, -7.5551518)","(33.5933721, -7.5656458)",Maroc ⵍⵎⵖⵔⵉⴱ المغرب,Middle East/Africa
Charlotte,"(35.370595, -80.808403)","(35.302215, -80.693216)","(35.1439164, -80.7430234)",United States,US/Canada
Chicago,"(41.6772636, -87.6768703)","(41.7519533, -87.5502186)","(41.8098847, -87.7086741)",United States,US/Canada
Cleveland,"(41.435913, -81.691285)","(41.446676, -81.6213656)","(41.509126, -81.657663)",United States,US/Canada
Copenhagen,"(43.8915469, -75.6754052)","(43.8934565, -75.6736064)","(43.8954202, -75.6739458)",Danmark,Europe
Dallas,"(32.7645239, -96.7881909)","(32.739129, -96.647651)","(32.7900841, -96.7875871)",United States,US/Canada
Damascus,"(36.6386058, -81.7844072)","(36.633275, -81.78612)","(36.635013, -81.784972)",United States,US/Canada
Denver,"(39.7147205, -104.9745861)","(39.7873817, -104.9534963)","(39.8086078, -104.872213)",United States,US/Canada
Detroit,"(42.297549, -83.101595)","(42.3036941, -83.1124947)","(42.370992, -83.071045)",United States,US/Canada
Dubai,"(25.2098177, 55.2469328)","(25.2347728, 55.3144494)","(25.1489146, 55.202596)",الإمارات العربية المتحدة,Middle East/Africa
Dublin,"(53.319288, -6.2666091)","(53.3368561, -6.272723)","(53.3924698, -6.172146)",Éire / Ireland,Europe
Glasgow,"(37.013914, -85.890491)","(37.024969, -85.922708)","(36.9765016, -85.9242387)",United Kingdom,Europe
Hanoi,"(20.9630512, 105.5905522)","(21.1391562, 105.8607936)","(20.9918003, 105.7953667)",Việt Nam,Asia/Oceania
Havana,"(37.091841, -95.943808)","(37.093998, -95.937434)","(37.093988, -95.940738)",Cuba,Latin America
Helsinki,"(60.2562248, 24.9867723)","(60.1781531, 25.0524554)","(60.2243488, 25.1737148)",Suomi / Finland,Europe
Hong Kong,"(22.439307, 114.0595779)","(22.2285464, 114.2477943)","(22.2867776, 114.1536119)",中国,Asia/Oceania
Honolulu,"(21.3457142, -157.8579057)","(21.2765684, -157.823449)","(21.3563364, -157.8536835)",United States,Hawaii
Houston,"(29.746944, -95.3830056)","(29.6519237, -95.2672184)","(29.7337612, -95.3731552)",United States,US/Canada
Istanbul,"(41.0209125, 28.5975906)","(41.0371723, 28.6252995)","(40.9239655, 29.2182374)",Türkiye,Europe
Jakarta,"(-6.130508, 106.769502)","(-6.1559736, 106.8730444)","(-6.1339211, 106.9038542)",Indonesia,Asia/Oceania
Jerusalem,"(31.791003, 35.2082989)","(31.8160675, 35.2013381)","(31.7534785, 35.1935795)",ישראל,Middle East/Africa
Kabul,"(34.414939, 69.1220762)","(34.590492, 69.1589832)","(34.5933797, 69.1297618)",Afghanistan,Kabul Province
Karachi,"(24.9989357, 67.0591563)","(24.9682224, 67.1559723)","(24.9302476, 66.9719977)",پاکستان,Asia/Oceania
Kathmandu,"(27.7012468, 85.3451989)","(27.7151511, 85.3376892)","(27.7016725, 85.3476661)",Nepal,Bagamati Province
Kiev,"(50.5173124, 30.4890601)","(50.4384801, 30.5921124)","(50.3656277, 30.6774419)",Україна,Europe
Kyoto,"(35.0630944, 135.7918411)","(35.0163931, 135.7436565)","(34.9902511, 135.7288289)",日本,Asia/Oceania
Lagos,"(17.1335172, 104.9822809)","(16.6770362, 104.9984503)","(17.393553, 104.8168303)",Nigeria,Middle East/Africa
Las Vegas,"(36.2260927, -115.2256913)","(36.2477776, -115.2406407)","(36.1844896, -115.2390049)",United States,US/Canada
Lima,"(-11.8380372, -77.1631403)","(-12.0252286, -77.0332582)","(-11.9864511, -77.0245457)",Perú,Latin America
